id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
a0a1d989-124f-429b-bd88-c37224de5982,LOCF,training the <your model> model,,2025-06-06 21:42:44,0.7750401496887207,5.543145350619247e-08,2.1846478161500052e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
3c7b219c-5658-4ff4-8096-88cf15c890f7,NOCB,training the <your model> model,,2025-06-06 21:42:51,0.779979944229126,5.574381141930948e-08,2.1969583725144e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
7e89448e-5501-4901-824a-ee6da5a2ab00,Linear Interpolation,training the <your model> model,,2025-06-06 21:42:58,0.828167200088501,5.936155225602609e-08,2.339539689048824e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
12ebcb8a-b352-4502-965a-c388436a0e08,Linear Regression,training the <your model> model,,2025-06-06 21:43:05,1.417446851730347,1.4666455430421542e-07,5.7802994148714484e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
27622e44-204f-433d-8a60-a2269eaecfb9,LightGBM,training the <your model> model,N/A,2025-06-06 21:43:12,2.8405230045318604,2.2114886861241227e-07,8.715852865091809e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
