id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
988ecbf1-67a0-4575-9f13-e46454cda7ca,LOCF,training the <your model> model,,2025-06-06 21:39:18,0.7717154026031494,5.312792382331584e-08,2.093861795347377e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
286ff8fb-214a-456f-b611-cd7145688886,NOCB,training the <your model> model,,2025-06-06 21:39:25,0.7725281715393066,5.3043776308925313e-08,2.090545398754472e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
06bee59c-97a9-4c59-aeb2-08601655ae9c,Linear Interpolation,training the <your model> model,,2025-06-06 21:39:32,0.7854552268981934,5.4018169214486985e-08,2.1289478796305967e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
5e264144-9dee-45f5-aa29-f838b75d95bb,Linear Regression,training the <your model> model,,2025-06-06 21:39:39,0.7978246212005615,5.469517831680074e-08,2.1556299592682566e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
3b2bcf4f-7f17-43ba-956d-868529d8acc1,LightGBM,training the <your model> model,N/A,2025-06-06 21:39:46,0.9261579513549805,6.452858577830512e-08,2.543181264118828e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
