id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
f870d184-9290-4d53-9417-711392cc7dfa,LOCF,training the <your model> model,,2025-06-06 21:41:12,0.7716784477233887,5.3775245420979443e-08,2.1193738399580163e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
2d7f82e7-c0c1-4b82-b501-3f98530fcc99,NOCB,training the <your model> model,,2025-06-06 21:41:19,0.7770400047302246,5.401558187353809e-08,2.1288459081253213e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
365a71bc-f8d0-4d27-a6a2-3fbc1fc835c7,Linear Interpolation,training the <your model> model,,2025-06-06 21:41:26,0.7859203815460205,5.4664644617711634e-08,2.1544265742798657e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
280938b4-8e14-4158-a13a-8047ac1027eb,Linear Regression,training the <your model> model,,2025-06-06 21:41:33,0.8022668361663818,5.588949604771189e-08,2.2027000513836066e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
dc7e0ce8-723f-4d2a-93ba-04a96dbfa5ba,LightGBM,training the <your model> model,N/A,2025-06-06 21:41:40,0.973799467086792,6.888392254609243e-08,2.714832490209831e-08,"AMD Ryzen 5 7530U with Radeon Graphics/1 device(s), TDP:15.0", 0 device(s),Linux,NL/North Holland,0
