timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-06T21:45:47,LOCF,e02699f5-a7ed-4d04-a9c7-f09fbb4d1b58,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.142916435997904,1.8046357761204504e-06,8.421400600626201e-07,4.800000000000001,0.0,10.0,2.187457201333018e-06,0,4.555769349998527e-06,6.743226551331544e-06,The Netherlands,NLD,north holland,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,4.8975,52.3759,13.500617980957031,machine,N,1.0
2025-06-06T21:45:54,NOCB,dcfdf6c4-512a-46be-ac4b-11433f6e3bd0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.142325967000943,1.804051916650051e-06,8.420996358343898e-07,4.800000000000001,0.0,10.0,2.186748174664293e-06,0,4.5542967194402685e-06,6.741044894104561e-06,The Netherlands,NLD,north holland,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,4.8975,52.3759,13.500617980957031,machine,N,1.0
2025-06-06T21:46:01,Linear Interpolation,bed25acb-e8a6-41e9-975e-fba3b7219d66,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.145909124999889,1.8077535377787763e-06,8.424184960669617e-07,4.800000000000001,0.0,10.0,2.19134254133193e-06,0,4.563533880557063e-06,6.754876421888993e-06,The Netherlands,NLD,north holland,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,4.8975,52.3759,13.500617980957031,machine,N,1.0
