,method,MAE,dataset
0,LOCF,0.17862276934479995,uci
1,NOCB,0.17055079545899685,uci
2,Linear Interpolation,0.13362988584226188,uci
3,Linear Regression,0.04529494240647015,uci
4,K-Nearest Neighbor,0.2251110994085942,uci
5,MICE,0.008736160648004547,uci
6,LightGBM,0.019911281990796607,uci
