,method,MAE,NRMSE,dataset
0,LOCF,0.4928583307537959,0.12775053576719717,uci
1,NOCB,0.4938361900863774,0.12780125981807816,uci
2,Linear Interpolation,0.36851596422120775,0.09176706731961194,uci
3,Linear Regression,0.21482415347238676,0.05994848196044871,uci
4,K-Nearest Neighbor,0.6760014338873472,0.15258838165638147,uci
5,MICE,0.12336768193522425,0.05420274606510022,uci
6,LightGBM,0.09513028886520584,0.04128497617089601,uci
