building,method,building,method,target,MAE,dataset
DE_KN_residential3,K-Nearest Neighbor,DE_KN_residential3,K-Nearest Neighbor,DE_KN_residential6_grid_import,2.367253289379801,genome
DE_KN_residential3,MICE,DE_KN_residential3,MICE,DE_KN_residential6_grid_import,8.467850065277798,genome
DE_KN_residential3,LightGBM,DE_KN_residential3,LightGBM,DE_KN_residential6_grid_import,1.8783464765586733,genome
DE_KN_residential4,LOCF,DE_KN_residential4,LOCF,DE_KN_residential6_grid_import,0.22337389156564313,genome
DE_KN_residential4,NOCB,DE_KN_residential4,NOCB,DE_KN_residential6_grid_import,,genome
DE_KN_residential4,Linear Interpolation,DE_KN_residential4,Linear Interpolation,DE_KN_residential6_grid_import,0.23310622821736615,genome
DE_KN_residential4,Linear Regression,DE_KN_residential4,Linear Regression,DE_KN_residential6_grid_import,0.01561290162408125,genome
DE_KN_residential4,K-Nearest Neighbor,DE_KN_residential4,K-Nearest Neighbor,DE_KN_residential6_grid_import,0.015639221407582227,genome
DE_KN_residential4,MICE,DE_KN_residential4,MICE,DE_KN_residential6_grid_import,0.018475335718904518,genome
DE_KN_residential4,LightGBM,DE_KN_residential4,LightGBM,DE_KN_residential6_grid_import,0.023034507336888055,genome
DE_KN_residential5,LOCF,DE_KN_residential5,LOCF,DE_KN_residential6_grid_import,767.9636621725874,genome
DE_KN_residential5,NOCB,DE_KN_residential5,NOCB,DE_KN_residential6_grid_import,5445.388983445577,genome
DE_KN_residential5,Linear Interpolation,DE_KN_residential5,Linear Interpolation,DE_KN_residential6_grid_import,766.7962190375987,genome
DE_KN_residential5,Linear Regression,DE_KN_residential5,Linear Regression,DE_KN_residential6_grid_import,307.3623948729515,genome
DE_KN_residential5,K-Nearest Neighbor,DE_KN_residential5,K-Nearest Neighbor,DE_KN_residential6_grid_import,619.1258865796365,genome
DE_KN_residential5,MICE,DE_KN_residential5,MICE,DE_KN_residential6_grid_import,315.1387228623562,genome
DE_KN_residential5,LightGBM,DE_KN_residential5,LightGBM,DE_KN_residential6_grid_import,618.6739535480268,genome
DE_KN_residential6,LOCF,DE_KN_residential6,LOCF,DE_KN_residential6_grid_import,0.20290807403398503,genome
DE_KN_residential6,NOCB,DE_KN_residential6,NOCB,DE_KN_residential6_grid_import,,genome
DE_KN_residential6,Linear Interpolation,DE_KN_residential6,Linear Interpolation,DE_KN_residential6_grid_import,0.17882585165170894,genome
DE_KN_residential6,Linear Regression,DE_KN_residential6,Linear Regression,DE_KN_residential6_grid_import,0.04634659526345786,genome
DE_KN_residential6,K-Nearest Neighbor,DE_KN_residential6,K-Nearest Neighbor,DE_KN_residential6_grid_import,0.006139825251921138,genome
DE_KN_residential6,MICE,DE_KN_residential6,MICE,DE_KN_residential6_grid_import,0.05713313569685852,genome
DE_KN_residential6,LightGBM,DE_KN_residential6,LightGBM,DE_KN_residential6_grid_import,0.07515667087136535,genome
