timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-06T19:58:13,LOCF,3d1ecba3-82e2-4182-9835-512c76fc67ec,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.156822953998926,1.8194334684710843e-06,8.435710799060748e-07,4.800000000000001,0.0,10.0,2.2056071706659475e-06,0,4.592912638882909e-06,6.7985198095488566e-06,The Netherlands,NLD,north holland,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,4.8975,52.3759,13.500617980957031,machine,N,1.0
2025-06-06T19:58:21,NOCB,db462409-391e-41d0-bf77-9204c1318407,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.1598331589993904,1.6198460103003698e-08,7.499866383433124e-09,4.800000000000001,0.0,10.0,2.2106391773316623e-06,0,4.603399633328486e-06,6.814038810660148e-06,Canada,CAN,quebec,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,-71.2,46.8,13.500617980957031,machine,N,1.0
2025-06-06T19:58:28,Linear Interpolation,d7ba8942-f615-4ec3-8b96-d3f784e05a3f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.269340891001775,1.987750811697033e-06,8.759154781807869e-07,5.136000000000001,0.0,10.0,2.521025941415089e-06,0,4.906430738891585e-06,7.427456680306674e-06,The Netherlands,NLD,north holland,,,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3.12.3,3.0.1,12,AMD Ryzen 5 7530U with Radeon Graphics,,,4.8975,52.3759,13.500617980957031,machine,N,1.0
